name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep3-optsgd-masknone,sft,100.0,0,0.0001,3,sgd,none,0.1707920792079208,0.6242774566473989,0.8292079207920792
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep3-optadamw-masknone,sft,100.0,0,0.0001,3,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep2-optsgd-masknone,sft,100.0,0,0.0001,2,sgd,none,0.1608910891089109,0.5101156069364162,0.8391089108910891
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep2-optadamw-masknone,sft,100.0,0,0.0001,2,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep1-optsgd-masknone,sft,100.0,0,0.0001,1,sgd,none,0.15346534653465346,0.4017341040462428,0.8465346534653465
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep1-optadamw-masknone,sft,100.0,0,0.0001,1,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep3-optsgd-masknone,sft,100.0,0,0.00005,3,sgd,none,0.28217821782178215,0.9017341040462428,0.7178217821782178
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep3-optadamw-masknone,sft,100.0,0,0.00005,3,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep2-optsgd-masknone,sft,100.0,0,0.00005,2,sgd,none,0.2623762376237624,0.8973988439306358,0.7376237623762376
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep2-optadamw-masknone,sft,100.0,0,0.00005,2,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep1-optsgd-masknone,sft,100.0,0,0.00005,1,sgd,none,0.27722772277227725,0.7615606936416185,0.7227722772277227
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr5e-5-ep1-optadamw-masknone,sft,100.0,0,0.00005,1,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-5-ep3-optsgd-masknone,sft,100.0,0,0.00002,3,sgd,none,0.30445544554455445,0.934971098265896,0.6955445544554455
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-5-ep3-optadamw-masknone,sft,100.0,0,0.00002,3,adamw,none,0.06930693069306931,0.4667630057803468,0.9306930693069306
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-5-ep2-optsgd-masknone,sft,100.0,0,0.00002,2,sgd,none,0.25,0.8251445086705202,0.75
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr2e-5-ep2-optadamw-masknone,sft,100.0,0,0.00002,2,adamw,none,0.0594059405940594,0.33959537572254334,0.9405940594059405
