name,method,correct_ratio,correct_seed,lr,epochs,optimizer,mask_stage,correct_accuracy,wrong_accuracy,forgetting_rate
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep3-optsgd-masknone,sft,100.0,0,0.0001,3,sgd,none,0.1707920792079208,0.6242774566473989,0.8292079207920792
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep3-optsgd-maskupdate,cnl,100.0,0,0.0001,3,sgd,update,0.12871287128712872,0.3222543352601156,0.8712871287128713
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep3-optsgd-maskgradient,cnl,100.0,0,0.0001,3,sgd,gradient,0.1311881188118812,0.3236994219653179,0.8688118811881188
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep3-optsgd-maskupdate,cnl,80.0,0,0.0001,3,sgd,update,0.6501547987616099,0.01300578034682081,0.34984520123839014
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep3-optsgd-maskgradient,cnl,80.0,0,0.0001,3,sgd,gradient,0.06501547987616099,0.33670520231213874,0.934984520123839
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep3-optsgd-maskupdate,cnl,60.0,0,0.0001,3,sgd,update,0.16115702479338842,0.3236994219653179,0.8388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep3-optsgd-maskgradient,cnl,60.0,0,0.0001,3,sgd,gradient,0.16115702479338842,0.3236994219653179,0.8388429752066116
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep3-optsgd-maskupdate,cnl,40.0,0,0.0001,3,sgd,update,0.14814814814814814,0.3236994219653179,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep3-optsgd-maskgradient,cnl,40.0,0,0.0001,3,sgd,gradient,0.14814814814814814,0.3236994219653179,0.8518518518518519
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep3-optsgd-maskupdate,cnl,20.0,0,0.0001,3,sgd,update,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr20-seed0-lr1e-4-ep3-optsgd-maskgradient,cnl,20.0,0,0.0001,3,sgd,gradient,0.1728395061728395,0.3236994219653179,0.8271604938271605
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep3-optsgd-maskupdate,cnl,10.0,0,0.0001,3,sgd,update,0.125,0.3236994219653179,0.875
qwen3-0.6b-correct-ratio-csqa-cnl-cr10-seed0-lr1e-4-ep3-optsgd-maskgradient,cnl,10.0,0,0.0001,3,sgd,gradient,0.125,0.3236994219653179,0.875
qwen3-0.6b-correct-ratio-csqa-sft-cr100-seed0-lr1e-4-ep3-optadamw-masknone,sft,100.0,0,0.0001,3,adamw,none,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep3-optadamw-maskupdate,cnl,100.0,0,0.0001,3,adamw,update,0.0594059405940594,0.33670520231213874,0.9405940594059405
qwen3-0.6b-correct-ratio-csqa-cnl-cr100-seed0-lr1e-4-ep3-optadamw-maskgradient,cnl,100.0,0,0.0001,3,adamw,gradient,0.1311881188118812,0.3236994219653179,0.8688118811881188
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep3-optadamw-maskupdate,cnl,80.0,0,0.0001,3,adamw,update,0.06501547987616099,0.33670520231213874,0.934984520123839
qwen3-0.6b-correct-ratio-csqa-cnl-cr80-seed0-lr1e-4-ep3-optadamw-maskgradient,cnl,80.0,0,0.0001,3,adamw,gradient,0.12074303405572756,0.3208092485549133,0.8792569659442724
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep3-optadamw-maskupdate,cnl,60.0,0,0.0001,3,adamw,update,0.05371900826446281,0.33670520231213874,0.9462809917355371
qwen3-0.6b-correct-ratio-csqa-cnl-cr60-seed0-lr1e-4-ep3-optadamw-maskgradient,cnl,60.0,0,0.0001,3,adamw,gradient,0.15702479338842976,0.3265895953757225,0.8429752066115702
qwen3-0.6b-correct-ratio-csqa-cnl-cr40-seed0-lr1e-4-ep3-optadamw-maskupdate,cnl,40.0,0,0.0001,3,adamw,update,0.06790123456790123,0.33670520231213874,0.9320987654320988
